,review,rating,autor(a),data
127, 🇲🇽 , ★★★★½ ,Brendan Michaels,24 Dec 2017
128," A very magical homage to the family and against forgetting. With charme and humor Pixar manages the balancing act between life and death without losing respect. A wonderful movie about families, traditions and their meaning. And that turning away from conventions doesn't mean ignoring them. ", ★★★★★ ,kat🕷,10 Mar 2024
129, I will tear up every time I watch this It’s so perfect , ★★★★★ ,Fugi456,19 Jul 2023
130, I have watched this movie over 20 times and each time i find myself more emotional. This is the only movie i have no complaints about... its PERFECT. , ★★★★★ ,Awesomemay,
131, Why did I do that to myself on a plane ride. , ★★★★★ ,Cameron Kozak,03 May 2024
132, I’VE SEEN THIS WAY TOO MUCH TO STILL BE CRYING THIS HARD , ★★★★½ ,james💫,23 Feb 2021
133,"  I had a dream about my grandma the other day and I thought to myself, “what better way to continue this memory than to watch a movie that reminds me so much of her.” So I got on Netflix and decided to give this a watch and once the film started, I had to try so hard to hold back my tears (it didn’t work since the tears still came out).Seeing Miguel’s relationship with his Mamá Coco is so…  ", ★★★★★ ,Issac,28 Jun 2019
134, Here for the El Santo cameo though. , ★★½ ,matt lynch,10 Dec 2017
135," This review may contain spoilers. I can handle the truth.   PT-BR Gostei como apresentam a cultura desse feriado.Lembre de mim é tão gostosinha de se ouvir.Tem muitas coincidências nesse filme, tipo o Miguel encontrando o Hector no momento certo.O duplo plot twist é sensacional. Primeiro vem a bomba de que o Hector foi assassinado e depois a segunda bomba de que ele é o verdadeiro tataravô do Miguel. O legal é que é bem escrito.Qual a lógica dos Rivera de odiar música só por causa de…   ", ★★★★ ,Douglas Barbosa,14 Jan 2024
136," Ah, yes. Family, love, and individuality. I love films that make me feel. I love songs that make me emotional. Coco is that film and Coco has those songs. I can't imagine a world without music as it can hold memories and feelings. Music helps us express ourselves and remember important memories, feelings, and people.*First watched this at the cinema with friends back when it was released, and just got to rewatch now. I'm so happy it still has a beautiful impact on me. ", ★★★★★ ,Lexi 🍃,01 Jul 2023
137," Beautiful! I paid a lot more attention to the details, more specifically “the land of the dead” segments. I love how some building have a skeleton shape and I absolutely love how colorful it is. It’s so magical in a way! I absolutely love the emotional core especially the song “remember me”. Always makes me cry. Love this film and I’ll never get tired of watching this over again! ", ★★★★½ ,Mason🔥,07 May 2024
138," You just know the second Mamá Coco shows up that this movie's gonna make you cry like a baby by the end.I still prefer Kubo, though. ", ★★★★ ,Felipe,
139, One of my favorite movies of all time. 5/5 grown men crying (me) , ★★★★★ ,MovieBoy,01 Nov 2020
140,"  ""🎶You make me un poco loco, un poquitito loco🎶""I've loved that song for years and now I love it even more.This film is absolutely a gorgeous thing. When it was almost over, I was wondering ""why did everybody cry at this?"" And then the ending happened and I was sobbing in my living room. I can't believe it took me so long to watch this, everyone was crazy about it and my siblings have seen it like 10…  ", ★★★★ ,alejandro,01 Jun 2021
141," Perhaps the most visually stunning animated movies I’ve ever had the pleasure of watching. Such a charming representation of Mexican culture and family, too, which nearly brought me to tears. Falls into the trap of some Disney clichés towards the end, but still near perfecto! ", ★★★★½ ,Zach,31 Mar 2022
142, Did not wreck me like it did at eighteen this time but it’s still really amazing. That one scene…yes I teared up… , ★★★★★ ,Paul,23 Nov 2023
143,"  ""One cannot deny who one is meant to be.""For some time now, Día de los Muertos has been utterly fascinating tradition to me. There's something so beautiful about a joyous, artistically expressive celebration that faces death head on by embracing it as an opportunity to remember and honor those who've moved on but nonetheless live on through our affectionate memories of them. From now on, if I ever need to convey why I'm so taken with it, I need…  ", ★★★★★ ,Fred 🇵🇷,06 May 2020
144, i held it together until the little kid started singing to his grandma from there it was a waterfall , ★★★★ ,roby,21 Apr 2020
145," Oh, that’s such a sweet sentiment…at such a bad time!There’s nothing greater than watching a movie and realizing within the first five minutes that you’re in good hands. It allows you relax and enjoy the show…and what a show!A great plot supported by some fantastic writing and a phenomenal third act.BONUS POINTS for that emotional gut-punch of the “final death” philosophy.Wait, what happened?He’s been forgotten.Cinematic Time Capsule - 2017 Ranked ", ★★★★★ ,📀 Cammmalot 📀,29 Nov 2019
146, i think pixar's trying to kill me , ★★★★★ ,cookie,04 Feb 2018
147,"  By dint of being a movie centered around a Mexican family when Mexican families are being regularly vilified on the national stage by the President of the United States, COCO feels pointed, almost calibrated to push back against that toxic strain of racism. On the other hand, Dia de los Muertos (which Disney tried to trademark!) is a real holiday with legitimate spiritual importance to believers, and the co-opting of its imagery and pageantry by non-practitioners is something that a…  ", ★★★½ ,laird,25 Nov 2017
148,"  The first time I watched Coco, I cried so hard that I threw up and I promptly had to put this movie in the box of “Movies I Love but Make Me Way Too Sad to Watch Again”. But I decided to be VERY BRAVE today and rewatched it!!! Because it is a beautiful movie that I do genuinely love!! And Turning Red felt, in so many ways, like a spiritual twin to Coco, so the double feature was more…  ", ★★★★★ ,claira curtis,31 Mar 2022
149,"  I am moving to an another house next month after 15 years so I thought I will watch some of my all time favorites once again in this house again. This one is one of my top 3 favorite animated movie of all time.First of the animation, what a beautifully animated world they have created. Every details have been crafted with so much care. It was a marvel to look at the world they have created. Then the Mexican…  ", ★★★★★ ,Shreesh,12 Dec 2021
150,"  “Remember me. Though I have to say goodbye, remember me. Don't let it make you cry. For even if I'm far away, I hold you in my heart. I sing a secret song to you, each night we are apart. Remember me. Though I have to travel far, remember me. Each time you hear a sad guitar, know that I'm with you, the only way that I can be. Until you're in my arms again, remember me.”Coco (2017) is…  ", ★★★★ ,Grant Paulsen,09 Jun 2021
151," Beautiful and heart-warming story that will likely emotionally destroy anyone who watches this with a heart. Such a touching tribute to a culture we don’t get to see in the movies too often. Although the plot is somewhat predictable, Miguel is such a compelling protagonist and you want so badly for him to get his happy ending. Visually gorgeous and really hits home on the importance of family. A Top 5 Pixar MoviePixar Ranked ", ★★★★½ ,Matt LaFemina,17 May 2020
152, I CAN'T STOP CRYING!!! , ★★★★★ ,angel,21 Nov 2018
153,"  An extraordinarily beautiful rendition to the immeasurable value of tradition - not to be confused with nationalism - in building a community's shared identity, and how that (mostly) positively affects our perception of other people as equal parts of a whole, instead of exulting the individual. It's ironic, to say the least, that it comes from such a frequently noxious media conglomerate that actively catalyzes the more or less organic process of cultural homogenization in the light of an unstoppable,…  ", ★★★★ ,Raul Marques,09 Jan 2018
154, 3rd Time this year is a charm ♥️BEST ANIMATED FILM OF ALL TIME!!!!! , ★★★★★ ,EccyReviews,09 Aug 2023
155, i had two choices tonight: watch the SAG awards or watch coco. i guess you can figure out which one i picked. taste and self-care hours  ONLY , ★★★★★ ,stephanie ✨,19 Jan 2020
156,"  XV Festival de Cine de Morelia #1No tengo idea, y me causa mucha curiosidad, cómo va a recibir el resto del mundo a una película como Coco. Creo que va a gustar, la historia es maravillosa y cautiva desde la primera escena. Ya no se diga en el apartado visual. Si la historia me puso lagrimitas en los ojos varias veces, las imágenes lo hicieron el doble de ocasiones. Pero lo que no sé cómo le va a caer…  ", ★★★★★ ,Olevar,20 Oct 2017
157, this film fills my corazon , ★★★★½ ,Jack Moulton,01 Nov 2023
158," Dazzling visuals and truly awe-inspiring world design. A point A-to-B-to-C plot line could have felt formulaic, but an emphasis on individuality without forsaking family or ties as a throughline keeps us cruising. Certainly one of the greatest and most impactful final 10-15 minutes of a movie I've ever seen. Gael García Bernal frantically delivering PG-rated dialogue is very reminiscent of Joe Pesci in Home Alone 1 & 2 - as if I needed any more reason to be on board (with the movie or with the force of nature that is Gael García Bernal in film). This movie makes me so happy. ", ★★★★★ ,Jessica,
